date|ip|methode|url|code|temps
2026-03-01 10:00:01|192.168.1.10|GET|/index.html|200|110ms
2026-03-01 10:00:05|192.168.1.11|POST|/login|200|240ms

|||||
2026-03-01 10:00:10|192.168.1.12|GET|/dashboard|200|180ms
 2026-03-01 10:00:15 | 192.168.1.13 | GET | /profile | 404 | 95ms 
# commentaire|||||
LIGNE COMPLETEMENT INVALIDE|||||
2026-03-01 10:00:20|192.168.1.10|GET|/dashboard|500|310ms
2026-03-01 10:00:25|192.168.1.14|GET|/index.html|200|abcms
2026-03-01 10:00:30|192.168.1.11|GET|/settings|OK|150ms
2026-03-01 10:00:35|192.168.1.15|POST|/login|200|-260ms
2026-03-01 10:00:40|192.168.1.16|GET|/profile|200|120
2026-03-01 10:00:45|192.168.1.10|GET|/profile|404|100ms|EXTRA
2026/03/01 10:01:01|192.168.1.10|GET|/dashboard|500|320ms
2026-03-01 10:01:05|999.999.1.11|POST|/login|200|255ms
2026-03-01 10:01:10|192.168.1.12|FETCH|/index.html|200|115ms
2026-03-01 10:01:15|192.168.1.13|GET||200|140ms
2026-03-01 10:01:20;192.168.1.17;GET;/profile;404;90ms
2026-03-01 10:01:25|192.168.1.10|GET|/dashboard|500|305ms
2026-03-01 10:01:30|192.168.1.18|GET|/index.html|two hundred|100ms
2026-03-01 10:01:35|192.168.1.11|GET|/profile|200|125ms
2026-03-01 10:01:40|192.168.1.19|POST|/login|200|270MS
2026-03-01 10:01:45|192.168.1.10|GET|/profile|404|95 ms
2026-03-01 10:02:01|192.168.1.20|GET|/index.html|200|105ms
2026-03-01 10:02:05|192.168.1.11|POST|/login|200|260ms
2026-03-01 10:02:10|192.168.1.12|GET|/dashboard|200|170ms
2026-03-01 10:02:15|192.168.1.13|GET|/profile|404|100ms
2026-03-01 10:02:20|192.168.1.10|GET|/dashboard|500|330ms
2026-03-01 10:02:25|192.168.1.21|GET|/settings|200|145ms
2026-03-01 10:02:30|192.168.1.22|POST|/login|200|250ms
2026-03-01 10:02:35|192.168.1.11|GET|/profile|200|130ms
2026-03-01 10:02:40|192.168.1.23|GET|/index.html|200|110ms
2026-03-01 10:02:45|192.168.1.10|GET|/profile|404|105ms
BAD DATA|??|???|???|???|???
2026-03-01 10:03:01|192.168.1.24|GET|/dashboard|200|175ms
2026-03-01 10:03:05|192.168.1.11|POST|/login|200|245ms
2026-03-01 10:03:10|192.168.1.25|GET|/index.html|200|115ms
2026-03-01 10:03:15|192.168.1.13|GET|/profile|404|98ms
2026-03-01 10:03:20|192.168.1.10|GET|/dashboard|500|315ms
2026-03-01 10:03:25|192.168.1.26|GET|/settings|200|135ms
2026-03-01 10:03:30|192.168.1.27|POST|/login|200|255ms
2026-03-01 10:03:35|192.168.1.11|GET|/profile|200|120ms
2026-03-01 10:03:40|192.168.1.28|GET|/index.html|200|108ms
2026-03-01 10:03:45|192.168.1.10|GET|/profile|404|102ms
2026-03-01 25:99:99|192.168.1.29|GET|/home|200|111ms
2026-03-01 10:04:00||GET|/contact|200|101ms
2026-03-01 10:04:05|192.168.1.30||/contact|200|109ms
2026-03-01 10:04:10|192.168.1.31|GET|/api/data?id=5|503|410ms
2026-03-01 10:04:15|192.168.1.31|GET|/api/data?id=5|503|415ms
2026-03-01 10:04:20|192.168.1.31|GET|/api/data?id=5|503|420ms
"user=admin"|"192.168.1.36"|"POST"|"/login"|"403"|"280ms"
[2026-03-01 10:05:01]|192.168.1.32|GET|/home|200|120ms
2026-03-01T10:05:05|192.168.1.33|POST|/login|401|210ms
Mar 01 2026 10:05:10|192.168.1.34|GET|/report|200|190ms
2026-03-01 10:05:15|192.168.1.35|GET|/home?page=1&sort=asc|200|130ms
